"","X","stock.id","species","stock","region","sub.region","brood.yr","spawners","recruits","entry.yr","ln.rs","long","lat","loc.sst","our.region"
"182",182,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1984,1165345,11792818,1986,2.31447352158812,157.38,58.25,0.746524186973367,"EBS"
"183",183,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1985,1095192,6401004,1987,1.76552516269851,157.38,58.25,0.850913317818988,"EBS"
"184",184,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1986,1152180,14229266,1988,2.51364502953692,157.38,58.25,0.522092310108542,"EBS"
"185",185,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1987,1273553,25748665,1989,3.00657214894486,157.38,58.25,0.320536661434311,"EBS"
"186",186,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1988,1612745,19484266,1990,2.49166957194769,157.38,58.25,0.250663181876395,"EBS"
"187",187,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1989,1611566,10167809,1991,1.84202037222291,157.38,58.25,-0.00392903158365686,"EBS"
"188",188,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1990,2191582,16096298,1992,1.99396565019164,157.38,58.25,0.62348564466756,"EBS"
"189",189,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1991,2786925,9957460,1993,1.27338318151194,157.38,58.25,0.528132957942094,"EBS"
"190",190,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1992,1945632,8673753,1994,1.49471470907985,157.38,58.25,0.274850220413049,"EBS"
"191",191,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1993,1517000,1939488,1995,0.245689320350709,157.38,58.25,0.425585010616994,"EBS"
"192",192,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1994,1897977,7996221,1996,1.43818047298027,157.38,58.25,0.578476531421128,"EBS"
"193",193,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1995,1266692,7532359,1997,1.78279949509805,157.38,58.25,0.516881332481642,"EBS"
"194",194,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1996,1076460,4161535,1998,1.35220611692037,157.38,58.25,-0.045139556594615,"EBS"
"195",195,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1997,1104004,6062437,1999,1.70316829342028,157.38,58.25,-0.0707879362151225,"EBS"
"196",196,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1998,1110938,1270194,2000,0.133964941190271,157.38,58.25,0.597672359297315,"EBS"
"197",197,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",1999,1728397,13014329,2001,2.01885659185563,157.38,58.25,0.842029286549383,"EBS"
"198",198,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",2000,1032138,11992729,2002,2.45266817042989,157.38,58.25,1.43779570725635,"EBS"
"199",199,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",2001,968872,4904527,2003,1.62178142691533,157.38,58.25,0.911582842167065,"EBS"
"200",200,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",2002,1036092,5590042,2004,1.68553085757226,157.38,58.25,0.992203039876582,"EBS"
"201",201,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",2003,1152120,9110323,2005,2.0678044426713,157.38,58.25,0.341124955246592,"EBS"
"202",202,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",2004,1290144,14704853,2006,2.43342373530557,157.38,58.25,-0.134294242982337,"EBS"
"203",203,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",2005,1621734,6147468,2007,1.33254434254988,157.38,58.25,-0.32429724005948,"EBS"
"204",204,NA,"Sockeye","Egegik","Bristol Bay","Bristol Bay South",2006,1465158,3550417,2008,0.885101974894601,157.38,58.25,-0.306360318588576,"EBS"
