"","stock","in.Dorner.et.al.","GOA","brood.yr","spawners","recruits","use","source","lat","long","notes","entry.yr","ln.rs","loc.sst","w.sst.1","w.sst.2","w.sst.3","our.region","npgo3","npgo2","npgo","pdo3","pdo2","pdo"
"172","Ayakulik","",1,2002,229292,313392,1,"",57.2,154.54,"",2004,0.312458502649132,0.73480343240525,1.94870676226569,1.14634675716427,0.628388281105645,"GOA",0.273767326666667,-0.464171268,0.285037166,0.876,0.418,0.474
"173","Ayakulik","",1,2003,197892,23352,1,"FMS13-11",57.2,154.54,"",2005,-2.13703879378282,0.592912433358558,0.343986752062845,0.371520024640565,0.897248937182273,"GOA",-0.665353895333333,-1.140549426,-1.213379702,0.308,0.225,0.362
"174","Ayakulik","",1,2004,275238,298131,1,"FMS13-11",57.2,154.54,"",2006,0.0798968093040693,-0.250605785215101,0.399053297218285,0.305636773905409,0.318420099957888,"GOA",-0.910357842666667,-0.758846913,-1.06771915,0.124,0.005,0.088
"175","Ayakulik","",1,2005,251906,491729,1,"FMS13-11",57.2,154.54,"",2007,0.668871749680284,-0.438344347928109,0.212220250592533,-0.254039938387715,-0.0363421931857153,"GOA",-0.222457106,0.200173916,-0.449974676,-0.272666666666667,-0.453,-0.078
"176","Ayakulik","",1,2006,87780,420593,1,"FMS16-09",57.2,154.54,"",2008,1.56683193597891,-0.65285232239905,-0.720300127367964,-0.751265814943674,-0.430103793098272,"GOA",0.425448599333333,0.863160237,0.850322508,-0.746,-1.08,-0.828
"177","Ayakulik","",1,2007,283042,636871,1,"FMS16-09",57.2,154.54,"",2009,0.810971826764373,-0.562928531600043,-0.782231502519385,-0.930360213739301,-0.860340184948855,"GOA",1.08712063133333,1.205519693,0.875997966,-0.602,-0.489,-1.332
"178","Ayakulik","",1,2008,162888,353426,1,"FMS16-09",57.2,154.54,"3.4 not available, but this has a very small effect on total returns!",2010,0.774611280134149,-0.258581225832808,-1.07848892495922,-0.492089260630345,-0.588803341260025,"GOA",1.05976936333333,1.151655062,1.53504142,-0.624,-0.27,0.354
"211","Black","",1,1960,251567,774756,1,"",56.28,158.64,"",1962,1.12483878541991,-0.116220794195171,0.158216732937685,-0.0312602908716836,0.168133829873978,"GOA",0.337209576666667,-0.12433509,0.00705286,-0.608,-1.076,-1.68
"212","Black","",1,1961,140714,571645,1,"",56.28,158.64,"",1963,1.40178870768118,-0.332568876332406,-0.220737314681052,0.21710551097093,0.197475918293181,"GOA",0.111720142,0.164053783,-0.25572304,-0.999333333333333,-0.659,-0.472
"213","Black","",1,1962,167602,693473,1,"",56.28,158.64,"",1964,1.42012018489716,0.208156564764025,0.654948336622911,0.833377186546951,0.482005686137616,"GOA",-0.090260954,-0.007529911,0.583830606,-0.751333333333333,-0.891,-0.846
