"","stock.id","species","even.odd","stock","full.stock","GOA","region","sub.region","brood.yr","spawners","recruits","use","entry.yr","ln.rs","long","lat","loc.sst","w.sst.1","w.sst.2","our.region","npgo2","npgo","pdo2","pdo"
"25",201,"Pink","O","Puyallup","Puyallup.O",0,"Inside WA","Inside WA",2007,417767,1324533,1,2008,1.15389136262143,122.4272,47.26972,-1.65103565534393,-0.325924125125456,-0.792643061828135,"South",0.863160237,0.850322508,-1.08,-0.828
"26",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1959,30500,44388,1,1960,0.375242479024951,122.9956,47.5644,0.00814518895707034,0.898903625844711,0.910774697183566,"South",0.93745374,0.61460857,0.342,0.356
"27",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1961,36800,901536,1,1962,3.19860213011543,122.9956,47.5644,-0.256724327039288,1.09707435759388,0.522109819958372,"South",-0.12433509,0.00705286,-1.076,-1.68
"28",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1963,503000,217872,1,1964,-0.83668243571752,122.9956,47.5644,-0.706559759804952,1.12202829518128,0.866329647941501,"South",-0.007529911,0.583830606,-0.891,-0.846
"29",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1965,160000,465405,1,1966,1.06773417902315,122.9956,47.5644,-0.0862264843720268,-0.736035075763483,-0.234831069270775,"South",-0.809721169,-0.829702192,-0.572,-0.534
"30",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1967,269000,58604,1,1968,-1.52390842596277,122.9956,47.5644,-0.296135039731987,-0.279599625946803,-0.236215430086526,"South",-0.796891715,-0.568987534,-0.653,-0.422
"31",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1969,42000,138686,1,1970,1.19454276666821,122.9956,47.5644,-0.24106231854463,-1.39901587678386,-0.464663045326708,"South",0.0186527205,0.032071858,-0.319,0.78
"32",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1971,104000,70592,1,1972,-0.387474075510335,122.9956,47.5644,-0.833594621371464,-1.15547442522778,-1.59162935102058,"South",-0.3421108,-0.295710623,-1.036,-1.806
"33",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1973,46500,18401,1,1974,-0.927047301629073,122.9956,47.5644,-1.11317514742069,-0.845574250311942,-1.17102599650106,"South",0.1908359155,-0.237943949,-0.809,-1.268
"34",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1975,12500,79795,1,1976,1.85373220154289,122.9956,47.5644,-1.12678874609086,-0.247372008291975,-0.729622270861904,"South",1.41536357,1.25881028,-0.169,-1.528
"35",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1977,44000,74372,1,1978,0.524889892999555,122.9956,47.5644,0.533324775848834,1.20162241740512,0.677539431328524,"South",0.262731659,1.07569398,-0.039,0.344
"36",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1979,37100,12013,1,1980,-1.12762757287415,122.9956,47.5644,-0.274533681293696,-0.779635750242234,-0.344919434401912,"South",-0.823966005,-1.161953614,0.567,0.472
"37",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1981,6450,29222,1,1982,1.51084171944221,122.9956,47.5644,-0.737269079454531,0.651887438912999,0.177651703832671,"South",-0.000825666000000003,-0.08333229,0.602,0.44
"38",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1983,25000,91739,1,1984,1.3000717638708,122.9956,47.5644,-0.224456374521123,0.379022546423552,0.369353530984145,"South",0.239340204,0.157586876,1.15,1.438
"39",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1985,63800,77341,1,1986,0.192471025664651,122.9956,47.5644,0.0547009298856068,-0.55298295055622,-0.673153596746119,"South",-0.537648356,-1.231724686,1.381,0.908
"40",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1987,62100,114944,1,1988,0.615699064300247,122.9956,47.5644,0.195639567762067,0.841178580966229,0.695736307659983,"South",0.898568807,0.816804682,0.308,1.266
"41",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1989,60800,166259,1,1990,1.00595702443692,122.9956,47.5644,0.124130980820754,-0.808353068000749,-0.45461151024743,"South",-0.395936969,0.033625196,-1.015,-0.456
"42",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1991,118200,38696,1,1992,-1.11664186945132,122.9956,47.5644,1.66102247421373,-0.523165089436313,0.155877804561086,"South",-1.101862623,-0.233910026,0.4,0.308
"43",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1993,35326,36148,1,1994,0.0230023853064577,122.9956,47.5644,0.699718356778464,0.261205027145898,0.57073627000467,"South",-1.750743963,-2.13753798,0.188,0.982
"44",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1995,31286,9477,1,1996,-1.19430290265152,122.9956,47.5644,0.0755012942244327,0.195598507047483,0.489466016433336,"South",-0.872874358,-0.580462,0.345,0.446
"45",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1997,8299,12673,1,1998,0.423338720483616,122.9956,47.5644,1.46833955928575,-0.200447106051677,0.884888521630764,"South",1.060346525,0.75120027,0.392,1.238
"46",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",1999,9475,99061,1,2000,2.34707907103263,122.9956,47.5644,0.611235228326711,0.322614016462724,0.0952684603335079,"South",2.04370374,1.6101386,-0.489,-1.244
"47",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",2001,98261,38242,1,2002,-0.943692815699161,122.9956,47.5644,-0.603860835062218,0.0463405865112615,-0.31660970616004,"South",1.847202098,1.94475968,0.597,-0.598
"48",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",2003,37462,17603,1,2004,-0.755257743809865,122.9956,47.5644,1.16169699453957,1.35067821687885,0.723631511905317,"South",-0.464171268,0.285037166,0.418,0.474
"49",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",2005,17442,29564,1,2006,0.527676314117846,122.9956,47.5644,0.264483822319271,0.418551046723898,0.427469317392637,"South",-0.758846913,-1.06771915,0.005,0.088
"50",202,"Pink","O","Hood Canal","Hood Canal.O",0,"Inside WA","Inside WA",2007,28964,11501,1,2008,-0.92361969141613,122.9956,47.5644,-1.63825734767422,-0.325924125125456,-0.792643061828135,"South",0.863160237,0.850322508,-1.08,-0.828
"51",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1959,85000,89431,1,1960,0.0508161217352572,122.2072,48.02139,0.00814518895707034,0.898903625844711,0.910774697183566,"South",0.93745374,0.61460857,0.342,0.356
"52",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1961,50168,982874,1,1962,2.97510355964707,122.2072,48.02139,-0.256724327039288,1.09707435759388,0.522109819958372,"South",-0.12433509,0.00705286,-1.076,-1.68
